Level: State and Local
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R04) Gen Rev-Own Sources
North Dakota,2010,$        7890299,$        5134439
North Dakota,2011,$        9678344,$        6480195
North Dakota,2012,$        9482954,$        6947445
North Dakota,2013,$       11432190,$        8388769
North Dakota,2014,$       12355447,$        9201436
North Dakota,2015,$       12335260,$        9184614
North Dakota,2016,$        9950401,$        7202959
North Dakota,2017,$       10694715,$        7147878
Ohio,1993,$       55504055,$       32614340
Ohio,1994,$       58171802,$       33915332
Ohio,1995,$       61807406,$       36854216
Ohio,1996,$       64538287,$       38750629
Ohio,1997,$       66294973,$       40303437
Ohio,1998,$       70553369,$       42915091
Ohio,1999,$       75103292,$       44790440
Ohio,2000,$       80074128,$       48084298
Ohio,2002,$       70976220,$       51704415
Ohio,2004,$      105285799,$       55855172
Ohio,2005,$      102498149,$       59898716
Ohio,2006,$      108392767,$       63852776
Ohio,2007,$      121625767,$       66525627
Ohio,2008,$      100916833,$       68313561
Ohio,2009,$       59953671,$       65792895
Ohio,2010,$      123288831,$       65192424
Ohio,2011,$      132234270,$       67853933
Ohio,2012,$      105097804,$       68969353
Ohio,2013,$      125081879,$       71532473
Ohio,2014,$      132851287,$       72567349
Ohio,2015,$      121449002,$       74809621
Ohio,2016,$      117027357,$       77401990
Ohio,2017,$      139065774,$       80650111
Oklahoma,1993,$       12417382,$        8496343
Oklahoma,1994,$       13237223,$        8866167
Oklahoma,1995,$       13649827,$        9321446
Oklahoma,1996,$       14996040,$        9704712
Oklahoma,1997,$       16106732,$       10577525
Oklahoma,1998,$       17387549,$       11120639
Oklahoma,1999,$       17440136,$       11515203
Oklahoma,2000,$       18760042,$       12517011
Oklahoma,2002,$       19160982,$       13648023
Oklahoma,2004,$       24097799,$       14539229
Oklahoma,2005,$       24552073,$       15242407
Oklahoma,2006,$       26801915,$       17030975
Oklahoma,2007,$       30181926,$       18274660
Oklahoma,2008,$       26830676,$       19044632
Oklahoma,2009,$       26388380,$       19515571
Oklahoma,2010,$       32939014,$       18840091
Oklahoma,2011,$       35520543,$       19619384
Oklahoma,2012,$       32501919,$       20821761
Oklahoma,2013,$       36272558,$       21342772
Oklahoma,2014,$       37897987,$       21981259
Oklahoma,2015,$       35103140,$       23007088
Oklahoma,2016,$       32751945,$       22320996
Oklahoma,2017,$       37450900,$       22509795
Oregon,1993,$       16349926,$        9937690
Oregon,1994,$       16602636,$       10516863
Oregon,1995,$       19078119,$       11250790
Oregon,1996,$       22125869,$       12092667
Oregon,1997,$       22126009,$       13424781
Oregon,1998,$       22840904,$       13658583
Oregon,1999,$       23040452,$       14304328
Oregon,2000,$       28644114,$       15736012
Oregon,2002,$       23192686,$       15178970
Oregon,2004,$       33733989,$       16831431
Oregon,2005,$       32405807,$       18069570
Oregon,2006,$       36219515,$       20236285
Oregon,2007,$       41858312,$       21015988
Oregon,2008,$       29209082,$       21589091
Oregon,2009,$       19359961,$       21381979
Oregon,2010,$       41031133,$       22068053
Oregon,2011,$       47034124,$       22982508
Oregon,2012,$       38746826,$       24859521
Oregon,2013,$       47393191,$       25952773
Oregon,2014,$       50945931,$       27304196
Oregon,2015,$       49207592,$       29392399
Oregon,2016,$       47935969,$       30811214
Oregon,2017,$       58100855,$       32849514
Pennsylvania,1993,$       57012667,$       37490498
Pennsylvania,1994,$       57974105,$       38270591
Pennsylvania,1995,$       60905060,$       40505412
Pennsylvania,1996,$       64439415,$       41959800
Pennsylvania,1997,$       72272643,$       44249012
Pennsylvania,1998,$       72674021,$       46505656
Pennsylvania,1999,$       74568556,$       48798739
Pennsylvania,2000,$       80545510,$       52116968
Pennsylvania,2002,$       73694315,$       55935071
Pennsylvania,2004,$      102238217,$       60492455
Pennsylvania,2005,$      103692261,$       64700103
Pennsylvania,2006,$      109082917,$       69398428
Pennsylvania,2007,$      121939854,$       74175898
Pennsylvania,2008,$      109653201,$       76871330
Pennsylvania,2009,$       74405648,$       74674210
Pennsylvania,2010,$      124378562,$       75300432
Pennsylvania,2011,$      133655826,$       79156596
Pennsylvania,2012,$      117295153,$       79833309
Pennsylvania,2013,$      133908930,$       82977312
Pennsylvania,2014,$      134364660,$       84416791
Pennsylvania,2015,$      131826544,$       88319542
Pennsylvania,2016,$      134706521,$       90652475
Pennsylvania,2017,$      149030067,$       93275203
Arkansas,1993,$        8559084,$        5484948
Arkansas,1994,$        9153025,$        5867704
Arkansas,1995,$        9783605,$        6306649
Arkansas,1996,$       11395776,$        7047168
Arkansas,1997,$       11919129,$        7487402
Arkansas,1998,$       12759027,$        7996218
Arkansas,1999,$       13432043,$        8347822
Arkansas,2000,$       13832882,$        8758898
Arkansas,2002,$       13566364,$        9564278
Arkansas,2004,$       18026873,$       10467714
Arkansas,2005,$       18865934,$       11684225
Arkansas,2006,$       20797101,$       12671719
Arkansas,2007,$       22485907,$       13145642
Arkansas,2008,$       19614726,$       13633319
Arkansas,2009,$       16976457,$       13780194
Arkansas,2010,$       24539102,$       13960893
Arkansas,2011,$       27695373,$       14650217
Arkansas,2012,$       23193532,$       14874562
Arkansas,2013,$       26893348,$       15318913
Arkansas,2014,$       28400573,$       15742121
Arkansas,2015,$       26844680,$       16322473
Arkansas,2016,$       26682770,$       16917836
Arkansas,2017,$       31280661,$       17447173
Rhode Island,1993,$        5091577,$        3238393
Rhode Island,1994,$        5560896,$        3348200
Rhode Island,1995,$        5696539,$        3482476
Rhode Island,1996,$        5769176,$        3560575
Rhode Island,1997,$        5912057,$        3874929
Rhode Island,1998,$        6073993,$        4116806
Rhode Island,1999,$        7202845,$        4224940
Rhode Island,2000,$        7427400,$        4551255
Rhode Island,2002,$        6861649,$        4870229
Rhode Island,2004,$        9701058,$        5637140
Rhode Island,2005,$        9731402,$        6041168
Rhode Island,2006,$       10134778,$        6301765
Rhode Island,2007,$       11233388,$        6679048
Rhode Island,2008,$        9444261,$        6904746
Rhode Island,2009,$        7666105,$        6861754
Rhode Island,2010,$       11726388,$        6933476
Rhode Island,2011,$       12729640,$        7212536
Rhode Island,2012,$       11393466,$        7735432
Rhode Island,2013,$       12589181,$        8066350
Rhode Island,2014,$       12670322,$        7872481
Rhode Island,2015,$       12357380,$        8245625
Rhode Island,2016,$       12297022,$        8302801
Rhode Island,2017,$       13182009,$        8349940
South Carolina,1993,$       15361121,$        9755273
South Carolina,1994,$       16581063,$       10543166
South Carolina,1995,$       17702793,$       11203888
South Carolina,1996,$       18368949,$       11820112
South Carolina,1997,$       19888267,$       12552353
South Carolina,1998,$       22013509,$       13653841
South Carolina,1999,$       21640397,$       14530361
South Carolina,2000,$       23466665,$       15350526
South Carolina,2002,$       24984750,$       15906729
South Carolina,2004,$       31119386,$       18583477
South Carolina,2005,$       33278454,$       20521656
South Carolina,2006,$       34702705,$       22135458
South Carolina,2007,$       39525819,$       24320324
South Carolina,2008,$       35329048,$       24850568
South Carolina,2009,$       32283538,$       25221593
South Carolina,2010,$       42508501,$       25658433
South Carolina,2011,$       45753442,$       26507324
South Carolina,2012,$       39556268,$       26520544
South Carolina,2013,$       43811192,$       27662820
South Carolina,2014,$       47661015,$       28977243
South Carolina,2015,$       46795744,$       30550307
South Carolina,2016,$       46702477,$       31439933
South Carolina,2017,$       52863732,$       32917955
South Dakota,1993,$        2904391,$        1800472
South Dakota,1994,$        3093134,$        1944980
South Dakota,1995,$        3225357,$        2038140
South Dakota,1996,$        3445740,$        2149293
South Dakota,1997,$        3495477,$        2215233
South Dakota,1998,$        4185358,$        2389141
South Dakota,1999,$        4224007,$        2476017
South Dakota,2000,$        4277467,$        2621314
South Dakota,2002,$        3964187,$        2751679
South Dakota,2004,$        5592781,$        3022774
South Dakota,2005,$        5856731,$        3173017
South Dakota,2006,$        6055554,$        3450318
South Dakota,2007,$        7045621,$        3691253
South Dakota,2008,$        5206966,$        3967421
South Dakota,2009,$        4520377,$        3995247
South Dakota,2010,$        6940774,$        4021877
South Dakota,2011,$        8454486,$        4137343
South Dakota,2012,$        6841455,$        4313668
South Dakota,2013,$        8383992,$        4445759
South Dakota,2014,$        8817379,$        4704267
South Dakota,2015,$        7526089,$        4820406
South Dakota,2016,$        7345444,$        5071183
South Dakota,2017,$        9092380,$        5302634
Tennessee,1993,$       22243630,$       12500160
Tennessee,1994,$       23806865,$       13396559
Tennessee,1995,$       24223500,$       14046168
Tennessee,1996,$       27196849,$       15063643
Tennessee,1997,$       28684487,$       15853296
Tennessee,1998,$       30314078,$       16820201
Tennessee,1999,$       31367892,$       17450042
Tennessee,2000,$       33624769,$       18502862
Tennessee,2002,$       33483212,$       19879580
Tennessee,2004,$       42075025,$       23018239
Tennessee,2005,$       44888233,$       25774002
Tennessee,2006,$       47231559,$       27397806
Tennessee,2007,$       52636772,$       29949836
Tennessee,2008,$       48191290,$       30454990
Tennessee,2009,$       42002495,$       28873164
Tennessee,2010,$       54296713,$       28093478
Tennessee,2011,$       60288525,$       29748510
Tennessee,2012,$       54133354,$       29424374
Tennessee,2013,$       57703960,$       30333362
Tennessee,2014,$       59978454,$       30404997
Tennessee,2015,$       56248062,$       32342210
Tennessee,2016,$       56600967,$       33008758
Tennessee,2017,$       62818213,$       34501413
Texas,1993,$       74359088,$       51330084
Texas,1994,$       78821475,$       53528353
Texas,1995,$       83524188,$       56136159
Texas,1996,$       89318080,$       61059487
Texas,1997,$      104147754,$       63864066
Texas,1998,$      100421555,$       67435389
Texas,1999,$      117493056,$       72642889
Texas,2000,$      120665917,$       76963568
Texas,2002,$      113816982,$       86012722
Texas,2004,$      153611993,$       96201288
Texas,2005,$      162806313,$      103213210
Texas,2006,$      177114769,$      113705592
Texas,2007,$      194800324,$      123779395
Texas,2008,$      171630060,$      131077525
Texas,2009,$      171739630,$      130559425
Texas,2010,$      209930381,$      129643786
Texas,2011,$      224865846,$      135314534
Texas,2012,$      212050073,$      142889671
Texas,2013,$      233292946,$      151568308
Texas,2014,$      253112113,$      159994786
Texas,2015,$      235372235,$      165047842
Texas,2016,$      247566135,$      167222965
Texas,2017,$      276479022,$      176678502
Utah,1993,$        8386124,$        5104971
Utah,1994,$        9229006,$        5573538
Utah,1995,$        9837166,$        6120851
Utah,1996,$       10459287,$        6524479
Utah,1997,$       11859981,$        7092652
Utah,1998,$       12901829,$        7776698
Utah,1999,$       13292097,$        8352608
Utah,2000,$       14953608,$        9035781
Utah,2002,$       13788726,$        9886410
Utah,2004,$       18916689,$       10612269
Utah,2005,$       19182905,$       11816523
Utah,2006,$       20773341,$       13267129
Utah,2007,$       23387596,$       14806479
Utah,2008,$       22981370,$       15097510
Utah,2009,$       16533627,$       14423369
Utah,2010,$       24148567,$       14386907
Utah,2011,$       25369618,$       15320864
Utah,2012,$       24195493,$       15666552
Utah,2013,$       27396445,$       16553983
Utah,2014,$       28243449,$       17178336
Utah,2015,$       27977602,$       18254430
Utah,2016,$       27788917,$       19385727
Utah,2017,$       32101550,$       21087372
Vermont,1993,$        2729722,$        1831809
Vermont,1994,$        2872475,$        1879329
Vermont,1995,$        3058013,$        1996520
Vermont,1996,$        3188866,$        2104018
Vermont,1997,$        3379648,$        2243086
Vermont,1998,$        3472652,$        2393027
Vermont,1999,$        3759187,$        2450119
Vermont,2000,$        4018646,$        2593701
Vermont,2002,$        4045603,$        2770283
Vermont,2004,$        5265774,$        3200002
Vermont,2005,$        5392814,$        3511496
Vermont,2006,$        5731946,$        3756831
Vermont,2007,$        6370683,$        4046292
Vermont,2008,$        6083481,$        4080667
Vermont,2009,$        5537498,$        4122395
Vermont,2010,$        7016282,$        4157651
Vermont,2011,$        7572355,$        4345550
Vermont,2012,$        6866094,$        4324177
Vermont,2013,$        7404430,$        4518870
Vermont,2014,$        7739387,$        4713407
Vermont,2015,$        7615232,$        4848419
Vermont,2016,$        7809095,$        4940859
Vermont,2017,$        8221835,$        5081607
Virginia,1993,$       26173176,$       19328050
Virginia,1994,$       27278636,$       20238687
Virginia,1995,$       29509899,$       21805806
Virginia,1996,$       31666567,$       22663495
Virginia,1997,$       36657548,$       24697747
Virginia,1998,$       39138649,$       26345048
Virginia,1999,$       39931184,$       28303475
Virginia,2000,$       44174553,$       30424073
Virginia,2002,$       38780385,$       32791325
Virginia,2004,$       54078178,$       36694860
Virginia,2005,$       56657747,$       40513523
Virginia,2006,$       61743729,$       44241375
Virginia,2007,$       70456811,$       47434988
Virginia,2008,$       58165871,$       48489426
Virginia,2009,$       46826787,$       47143741
Virginia,2010,$       71093344,$       47820155
Virginia,2011,$       76497579,$       49415930
Virginia,2012,$       67456925,$       50550994
Virginia,2013,$       77699409,$       52760168
Virginia,2014,$       81057467,$       53862903
Virginia,2015,$       78617973,$       57823419
Virginia,2016,$       79074530,$       59317067
Virginia,2017,$       91759059,$       62154123
Washington,1993,$       30351452,$       18277268
Washington,1994,$       30380999,$       19662845
Washington,1995,$       35765156,$       21363177
Washington,1996,$       37557262,$       22409754
Washington,1997,$       40063022,$       23623152
Washington,1998,$       42381368,$       25131700
Washington,1999,$       43831472,$       26260182
Washington,2000,$       46371508,$       27598554
Washington,2002,$       42123922,$       29303365
Washington,2004,$       54566467,$       31848420
Washington,2005,$       57509924,$       33857113
Washington,2006,$       63032457,$       37214296
Washington,2007,$       71996843,$       40946022
Washington,2008,$       63025517,$       43140840
Washington,2009,$       51019324,$       42250106
Washington,2010,$       71622880,$       42021458
Washington,2011,$       78340816,$       44102220
Washington,2012,$       69547231,$       45168698
Washington,2013,$       78644203,$       47300575
Washington,2014,$       86312385,$       49664612
Washington,2015,$       82524930,$       52375079
Washington,2016,$       85279112,$       56230446
Washington,2017,$      100497539,$       61393220
West Virginia,1993,$        7639076,$        4645542
West Virginia,1994,$        8107517,$        4980135
West Virginia,1995,$        8507372,$        5283955
West Virginia,1996,$        8745574,$        5426589
West Virginia,1997,$        9563140,$        5843825
West Virginia,1998,$        9878345,$        5952080
West Virginia,1999,$       10154123,$        6362275
West Virginia,2000,$       10759754,$        6565317
West Virginia,2002,$       11374682,$        7135617
West Virginia,2004,$       13596442,$        7902793
West Virginia,2005,$       14586656,$        8642947
West Virginia,2006,$       14043727,$        9272268
West Virginia,2007,$       15317561,$        9795566
West Virginia,2008,$       13674989,$       10121142
West Virginia,2009,$       14258617,$       10143325
West Virginia,2010,$       16993364,$       10127556
West Virginia,2011,$       18725223,$       10847054
West Virginia,2012,$       17031593,$       11307800
West Virginia,2013,$       18230024,$       11065257
West Virginia,2014,$       18867153,$       11045045
West Virginia,2015,$       17382828,$       11222608
West Virginia,2016,$       16985026,$       11072859
West Virginia,2017,$       19813222,$       11178522
California,1993,$      173028907,$      108446191
California,1994,$      179292903,$      110468996
California,1995,$      188961222,$      118028843
California,1996,$      200997869,$      124280830
California,1997,$      209658108,$      130281620
California,1998,$      232301900,$      141874723
California,1999,$      242469130,$      149775966
California,2000,$      270380221,$      169897404
California,2002,$      250724771,$      178394306
California,2004,$      358260676,$      197171994
California,2005,$      381059228,$      215987298
California,2006,$      410423098,$      242538358
California,2007,$      472215811,$      259328454
California,2008,$      352118411,$      268235812
California,2009,$      235012700,$      252688424
California,2010,$      453354349,$      254342515
California,2011,$      521092241,$      269885789
California,2012,$      399990808,$      264567569
California,2013,$      493823235,$      286203039
California,2014,$      542501678,$      299034678
California,2015,$      503676113,$      322601246
California,2016,$      511974138,$      341628691
California,2017,$      615808407,$      353187258
Wisconsin,1993,$       26800286,$       17340988
Wisconsin,1994,$       28280790,$       18374059
Wisconsin,1995,$       25906321,$       19568075
Wisconsin,1996,$       33829017,$       20488030
Wisconsin,1997,$       33573416,$       21207549
Wisconsin,1998,$       37048643,$       22741309
Wisconsin,1999,$       38789273,$       23826787
Wisconsin,2000,$       43002778,$       25512675
Wisconsin,2002,$       31424054,$       26099770
Wisconsin,2004,$       48807424,$       28375466
Wisconsin,2005,$       48235097,$       29620064
Wisconsin,2006,$       47958813,$       31236392
Wisconsin,2007,$       56071375,$       32896580
Wisconsin,2008,$       41507003,$       34411501
Wisconsin,2009,$       23264731,$       35093414
Wisconsin,2010,$       66290788,$       35161423
Wisconsin,2011,$       62969064,$       36520473
Wisconsin,2012,$       50993281,$       36126640
Wisconsin,2013,$       63879235,$       37316253
Wisconsin,2014,$       64739352,$       37594433
Wisconsin,2015,$       58953454,$       38340049
Wisconsin,2016,$       53990652,$       39581318
Wisconsin,2017,$       64159088,$       40981723
Wyoming,1993,$        3037888,$        1936258
Wyoming,1994,$        3300384,$        2106375
Wyoming,1995,$        3269733,$        2081366
Wyoming,1996,$        3478458,$        2274709
Wyoming,1997,$        3731263,$        2309150
Wyoming,1998,$        3908695,$        2648821
Wyoming,1999,$        4421879,$        2525700
Wyoming,2000,$        7029949,$        2663541
Wyoming,2002,$        4346263,$        3049692
Wyoming,2004,$        6327378,$        3681846
Wyoming,2005,$        7269200,$        4243063
Wyoming,2006,$        8132891,$        4983611
Wyoming,2007,$        8536971,$        5239729
Wyoming,2008,$        9383548,$        6044979
Wyoming,2009,$        7491885,$        6363071
Wyoming,2010,$       10175886,$        5940214
Wyoming,2011,$       10253907,$        6278932
Wyoming,2012,$       10410084,$        6169463
Wyoming,2013,$       11333034,$        6146305
Wyoming,2014,$       11355931,$        6328484
Wyoming,2015,$       11242016,$        6690867
Wyoming,2016,$        9767243,$        5891701
Wyoming,2017,$       10101843,$        5852782
Colorado,1993,$       17449165,$       11748725
Colorado,1994,$       18387063,$       12238526
Colorado,1995,$       19919155,$       13222075
Colorado,1996,$       20784691,$       13877174
Colorado,1997,$       22706354,$       15381126
Colorado,1998,$       23966802,$       16549605
Colorado,1999,$       25412517,$       17812787
Colorado,2000,$       29603248,$       19724146
Colorado,2002,$       26325240,$       21897172
Colorado,2004,$       38693384,$       22875307
Colorado,2005,$       38915310,$       24670635
Colorado,2006,$       41205216,$       27350432
Colorado,2007,$       46668994,$       29593678
Colorado,2008,$       47160741,$       31480945
Colorado,2009,$       29224089,$       31038000
Colorado,2010,$       49259855,$       30871958
Colorado,2011,$       51852572,$       32273371
Colorado,2012,$       47354294,$       33071238
Colorado,2013,$       54734901,$       34893402
Colorado,2014,$       57093755,$       36132674
Colorado,2015,$       55340011,$       37239700
Colorado,2016,$       55105506,$       38783204
Colorado,2017,$       62002235,$       42013390
Connecticut,1993,$       18579452,$       13658537
Connecticut,1994,$       18044585,$       13939112
Connecticut,1995,$       19918266,$       14674157
Connecticut,1996,$       20766214,$       15149550
Connecticut,1997,$       22058344,$       16602316
Connecticut,1998,$       23730060,$       17482095
Connecticut,1999,$       23796056,$       18053804
Connecticut,2000,$       25828327,$       19434795
Connecticut,2002,$       24831156,$       18765835
Connecticut,2004,$       28766835,$       21116543
Connecticut,2005,$       30490099,$       23160362
Connecticut,2006,$       33648282,$       24336145
Connecticut,2007,$       37472215,$       26259463
Connecticut,2008,$       32656080,$       27111648
Connecticut,2009,$       28904407,$       26091893
Connecticut,2010,$       39427477,$       26424910
Connecticut,2011,$       42527723,$       28173593
Connecticut,2012,$       40065044,$       30217298
Connecticut,2013,$       44428745,$       31032475
Connecticut,2014,$       45460754,$       31566527
Connecticut,2015,$       43346308,$       32068728
Connecticut,2016,$       42801774,$       31862773
Connecticut,2017,$       49519040,$       33146053
Delaware,1993,$        3612424,$        2647120
Delaware,1994,$        4021066,$        2930146
Delaware,1995,$        4272185,$        3199781
Delaware,1996,$        4431674,$        3285082
Delaware,1997,$        5132212,$        3529731
Delaware,1998,$        5519731,$        3901588
Delaware,1999,$        5525618,$        4088343
Delaware,2000,$        6223665,$        4372728
Delaware,2002,$        5812871,$        4480600
Delaware,2004,$        7124618,$        5179879
Delaware,2005,$        7636707,$        5457157
Delaware,2006,$        8473853,$        5983020
Delaware,2007,$        9243796,$        6388742
Delaware,2008,$        8405064,$        6548740
Delaware,2009,$        7462899,$        6469685
Delaware,2010,$        9830527,$        6542643
Delaware,2011,$       11062529,$        6806814
Delaware,2012,$        9775661,$        6860303
Delaware,2013,$       10954394,$        7268716
Delaware,2014,$       11273143,$        6973767
Delaware,2015,$       10307049,$        7179541
Delaware,2016,$       10284816,$        7430897
Delaware,2017,$       11971107,$        7724629

Data may be unavailable for some years, variables, and levels of government. Observations with missing values are displayed as N/A in the results above.



	
